Topic,Sub-Topic,Problem Number,Problem Description,Status,Notes,Date Completed
SELECT Basics,,1,Select all products,Pending,,
SELECT Basics,,2,Select specific columns,Pending,,
SELECT Basics,,3,Filter by price,Pending,,
SELECT Basics,,4,Sort results,Pending,,
SELECT Basics,,5,Multiple conditions,Pending,,
SELECT Basics,,6,DISTINCT values,Pending,,
SELECT Basics,,7,LIMIT results,Pending,,
SELECT Basics,,8,BETWEEN operator,Pending,,
SELECT Basics,,9,IN operator,Pending,,
SELECT Basics,,10,LIKE pattern matching,Pending,,
SELECT Basics,,11,NULL handling,Pending,,
SELECT Basics,,12,Complex WHERE clause,Pending,,
SELECT Basics,,13,ORDER BY multiple columns,Pending,,
SELECT Basics,,14,CASE statement,Pending,,
SELECT Basics,,15,Aliasing columns,Pending,,
SELECT Basics,,16,String concatenation,Pending,,
SELECT Basics,,17,Date filtering,Pending,,
SELECT Basics,,18,Comparison operators,Pending,,
SELECT Basics,,19,Logical operators (AND/OR),Pending,,
SELECT Basics,,20,NOT operator,Pending,,

JOINS,INNER JOIN,1,Join employees and departments,Pending,,
JOINS,INNER JOIN,2,Join orders and customers,Pending,,
JOINS,INNER JOIN,3,Join three tables,Pending,,
JOINS,INNER JOIN,4,Filter joined tables,Pending,,
JOINS,INNER JOIN,5,Aggregate with JOIN,Pending,,
JOINS,LEFT JOIN,6,Left join customers and orders,Pending,,
JOINS,LEFT JOIN,7,Find customers without orders,Pending,,
JOINS,LEFT JOIN,8,Count with LEFT JOIN,Pending,,
JOINS,LEFT JOIN,9,LEFT JOIN with WHERE,Pending,,
JOINS,LEFT JOIN,10,Multiple LEFT JOINs,Pending,,
JOINS,RIGHT JOIN,11,Right join example,Pending,,
JOINS,RIGHT JOIN,12,RIGHT JOIN with aggregation,Pending,,
JOINS,SELF JOIN,13,Employee and manager self join,Pending,,
JOINS,SELF JOIN,14,Hierarchical data,Pending,,
JOINS,SELF JOIN,15,Find pairs,Pending,,
JOINS,CROSS JOIN,16,Cartesian product,Pending,,
JOINS,CROSS JOIN,17,Generate combinations,Pending,,
JOINS,FULL OUTER JOIN,18,Full outer join example,Pending,,
JOINS,Multiple JOINs,19,Join 4+ tables,Pending,,
JOINS,Complex JOINs,20,Subquery in JOIN,Pending,,

Aggregate Functions,,1,COUNT all rows,Pending,,
Aggregate Functions,,2,COUNT with DISTINCT,Pending,,
Aggregate Functions,,3,SUM of salaries,Pending,,
Aggregate Functions,,4,AVG calculation,Pending,,
Aggregate Functions,,5,MIN and MAX,Pending,,
Aggregate Functions,,6,GROUP BY single column,Pending,,
Aggregate Functions,,7,GROUP BY multiple columns,Pending,,
Aggregate Functions,,8,HAVING clause,Pending,,
Aggregate Functions,,9,GROUP BY with JOIN,Pending,,
Aggregate Functions,,10,COUNT with condition,Pending,,
Aggregate Functions,,11,SUM with GROUP BY,Pending,,
Aggregate Functions,,12,AVG by department,Pending,,
Aggregate Functions,,13,HAVING vs WHERE,Pending,,
Aggregate Functions,,14,Multiple aggregates,Pending,,
Aggregate Functions,,15,Nested aggregates,Pending,,
Aggregate Functions,,16,ROUND with aggregates,Pending,,
Aggregate Functions,,17,GROUP BY with CASE,Pending,,
Aggregate Functions,,18,HAVING with multiple conditions,Pending,,
Aggregate Functions,,19,Aggregate with subquery,Pending,,
Aggregate Functions,,20,Complex GROUP BY,Pending,,

Subqueries,,1,Subquery in WHERE clause,Pending,,
Subqueries,,2,Subquery with IN operator,Pending,,
Subqueries,,3,Correlated subquery,Pending,,
Subqueries,,4,Subquery in SELECT,Pending,,
Subqueries,,5,Subquery in FROM clause,Pending,,
Subqueries,,6,EXISTS operator,Pending,,
Subqueries,,7,NOT EXISTS,Pending,,
Subqueries,,8,ANY operator,Pending,,
Subqueries,,9,ALL operator,Pending,,
Subqueries,,10,Multiple subqueries,Pending,,
Subqueries,,11,Nested subqueries,Pending,,
Subqueries,,12,Subquery with aggregation,Pending,,
Subqueries,,13,Subquery in HAVING,Pending,,
Subqueries,,14,Subquery vs JOIN comparison,Pending,,
Subqueries,,15,Scalar subquery,Pending,,
